epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,217.152,1.39167,3.26417,2.43431,1.50389,0,0.46721,0.18061,0.11479,0.05504,0.4089,0.0451,0.016,0.00439,1.7872,9.15342,2.57782,1.79669,0,1.99029e-05,1.99029e-05,0.080117
2,451.094,1.2665,2.80002,2.14939,1.44587,0,0.53249,0.15928,0.10419,0.04721,0.49497,0.11883,0.06546,0.02489,1.90883,3.827,3.00275,2.00104,0,3.97449e-05,3.97449e-05,0.0601368
3,690.881,1.29593,2.79647,2.16404,1.46828,0,0.47826,0.20535,0.11819,0.05956,0.45707,0.17206,0.09046,0.03321,1.52794,3.24085,2.40127,1.61048,0,5.94285e-05,5.94285e-05,0.0401565
4,901.01,1.29587,2.61683,2.04242,1.47078,0,0.54329,0.17817,0.09923,0.04521,0.45722,0.16288,0.06567,0.0272,1.80085,3.07039,3.02671,1.88415,0,7.89537e-05,7.89537e-05,0.020176
5,1110.98,1.26167,2.5376,2.01954,1.44736,0,0.56306,0.19287,0.18051,0.08701,0.54117,0.18387,0.14774,0.0597,1.6177,2.85752,2.40747,1.64184,0,9.83205e-05,9.83205e-05,0.000195408
6,1321.22,1.24247,2.4896,1.95139,1.44491,0,0.18238,0.30185,0.15797,0.08714,0.16872,0.23827,0.13636,0.05321,1.59555,2.79841,2.30544,1.65064,0,9.802e-05,9.802e-05,9.802e-05
7,1530.21,1.18855,2.39208,1.94995,1.39425,0,0.58276,0.22519,0.19058,0.10121,0.58424,0.19548,0.1647,0.06769,1.60739,2.75591,2.18351,1.68803,0,9.7624e-05,9.7624e-05,9.7624e-05
8,1738.96,1.1501,2.3314,1.86888,1.38231,0,0.56403,0.28857,0.21243,0.11994,0.56489,0.26205,0.19056,0.08032,1.50741,2.71148,2.20415,1.575,0,9.7228e-05,9.7228e-05,9.7228e-05
9,1947.86,1.14377,2.242,1.82704,1.37047,0,0.2448,0.25823,0.18377,0.09677,0.21949,0.23161,0.16182,0.07842,1.56061,2.80654,2.31692,1.65487,0,9.6832e-05,9.6832e-05,9.6832e-05
10,2155.52,1.11144,2.25697,1.75102,1.34544,0,0.25604,0.21096,0.19105,0.10954,0.20937,0.21678,0.1643,0.08009,1.47428,2.74159,2.08115,1.5621,0,9.6436e-05,9.6436e-05,9.6436e-05
11,2365.03,1.14841,2.24287,1.73875,1.38132,0,0.20432,0.28558,0.2191,0.12324,0.18676,0.25993,0.1852,0.09308,1.5272,2.81873,2.06661,1.64027,0,9.604e-05,9.604e-05,9.604e-05
12,2573.59,1.0443,2.07457,1.62856,1.2821,0,0.15169,0.324,0.18379,0.09745,0.13073,0.29158,0.15266,0.07091,1.51168,2.75315,2.29803,1.60509,0,9.5644e-05,9.5644e-05,9.5644e-05
13,2781.29,1.06221,2.1212,1.64733,1.32466,0,0.23791,0.28105,0.21195,0.11636,0.19461,0.23059,0.16945,0.08492,1.50196,2.61719,2.13261,1.61629,0,9.5248e-05,9.5248e-05,9.5248e-05
14,2990.06,1.05521,2.13658,1.6671,1.31722,0,0.36029,0.2875,0.22476,0.13479,0.32686,0.27843,0.20844,0.10913,1.46986,2.73061,2.06258,1.55556,0,9.4852e-05,9.4852e-05,9.4852e-05
15,3198.67,1.0345,2.02174,1.64581,1.27979,0,0.31804,0.30929,0.23528,0.13374,0.29152,0.27736,0.19883,0.10187,1.46855,2.51382,2.04424,1.57865,0,9.4456e-05,9.4456e-05,9.4456e-05
16,3405.93,1.03892,2.02095,1.58856,1.30606,0,0.26128,0.33918,0.2207,0.11515,0.24981,0.3088,0.19329,0.08994,1.51707,2.59266,2.06763,1.5761,0,9.406e-05,9.406e-05,9.406e-05
17,3615.16,1.03327,2.02434,1.49327,1.29244,0,0.32975,0.30901,0.25242,0.14004,0.31957,0.26188,0.22409,0.11588,1.50596,2.59193,1.99146,1.58173,0,9.3664e-05,9.3664e-05,9.3664e-05
18,3823.73,1.03872,2.04855,1.50828,1.29854,0,0.38166,0.25501,0.25126,0.14209,0.41756,0.22628,0.21629,0.11107,1.48179,2.57048,2.05828,1.5697,0,9.3268e-05,9.3268e-05,9.3268e-05
