epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,203.956,1.45109,3.16413,2.76124,1.57367,0,0.04041,0.1616,0.02206,0.00811,0.02866,0.1288,0.01211,0.00362,2.12199,3.94855,4.75066,2.24283,0,0.000474021,0.000474021,0.000474021
2,406.491,1.64103,3.02889,2.57195,1.71024,0,0.71761,0.05915,0.04277,0.01599,0.71377,0.04878,0.03503,0.01341,2.07393,3.57953,3.96563,2.21051,0,0.000931537,0.000931537,0.000931537
3,617.33,1.75668,3.11821,2.6557,1.80532,0,0.41493,0.10945,0.04535,0.01526,0.40194,0.11129,0.03824,0.01378,2.09916,3.80765,3.71445,2.22259,0,0.00137019,0.00137019,0.00137019
4,829.593,1.76828,3.10931,2.52129,1.80217,0,0.41105,0.17101,0.05559,0.02197,0.4032,0.15611,0.0457,0.01504,2.09002,3.41661,3.14571,2.18794,0,0.00134412,0.00134412,0.00134412
5,1035.72,1.70583,3.02804,2.46222,1.7561,0,0.43625,0.18068,0.0754,0.02903,0.44126,0.14603,0.06474,0.02052,2.04697,3.74113,2.94596,2.1215,0,0.00131582,0.00131582,0.00131582
6,1238.33,1.7185,3.0628,2.42949,1.77223,0,0.43593,0.14729,0.05491,0.02041,0.42101,0.14957,0.04232,0.01474,2.14033,3.50042,3.49934,2.12086,0,0.00128753,0.00128753,0.00128753
7,1440.85,1.67998,3.07245,2.44449,1.73152,0,0.44134,0.22887,0.09035,0.03439,0.40777,0.19374,0.06829,0.02467,2.01524,3.37314,3.02695,2.00835,0,0.00125923,0.00125923,0.00125923
8,1642.65,1.53169,2.86953,2.30555,1.62945,0,0.44615,0.23467,0.0789,0.03378,0.45176,0.18309,0.06517,0.02298,1.86795,3.27801,3.177,1.96538,0,0.00123094,0.00123094,0.00123094
9,2046.12,1.51281,2.76986,2.20502,1.63162,0,0.12604,0.19607,0.10304,0.04567,0.10965,0.211,0.08957,0.03455,1.94914,3.14475,2.72861,1.92543,0,0.00120265,0.00120265,0.00120265
10,2355.29,1.46377,2.78488,2.16178,1.58272,0,0.16372,0.21966,0.11868,0.05715,0.15577,0.174,0.10358,0.04082,1.84909,3.10757,2.76812,1.93451,0,0.00117435,0.00117435,0.00117435
