epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1972.85,0.71484,0.92693,0.64648,0.99751,0,0.744,0.52491,0.58863,0.39074,0.67985,0.51448,0.52104,0.21441,1.15071,0.95583,1.25646,1.24957,0,8.218e-05,8.218e-05,8.218e-05
29,2043.3,0.67823,0.86382,0.64375,0.9934,0,0.69799,0.54114,0.59499,0.38954,0.68313,0.50406,0.51702,0.21099,1.15097,0.97644,1.23154,1.25495,0,8.152e-05,8.152e-05,8.152e-05
30,2107.47,0.71459,0.89268,0.62168,0.99999,0,0.6631,0.58633,0.58746,0.37944,0.62867,0.54341,0.49873,0.19008,1.14158,0.98824,1.21377,1.26017,0,8.086e-05,8.086e-05,8.086e-05
31,2175.45,0.6911,0.88008,0.65313,0.98936,0,0.6707,0.57349,0.5998,0.40525,0.63819,0.55185,0.53352,0.22131,1.1438,0.95865,1.24626,1.2554,0,8.02e-05,8.02e-05,8.02e-05
32,2247.8,0.67195,0.87557,0.60408,0.98694,0,0.70775,0.5416,0.57588,0.39378,0.67592,0.51101,0.51171,0.21719,1.13293,0.96599,1.28572,1.24303,0,7.954e-05,7.954e-05,7.954e-05
33,2312.79,0.67833,0.89743,0.59299,0.97716,0,0.76975,0.51217,0.58433,0.401,0.68098,0.49965,0.5188,0.22147,1.10836,0.96037,1.28065,1.23345,0,7.888e-05,7.888e-05,7.888e-05
34,2375.92,0.66539,0.86235,0.58476,0.98466,0,0.68485,0.51796,0.55623,0.36967,0.63647,0.48204,0.48884,0.20028,1.14988,0.95843,1.38545,1.28698,0,7.822e-05,7.822e-05,7.822e-05
35,2444.16,0.68887,0.91598,0.60311,0.98868,0,0.6915,0.54345,0.58274,0.38631,0.63751,0.50753,0.5037,0.19111,1.11189,0.97472,1.27174,1.24381,0,7.756e-05,7.756e-05,7.756e-05
36,2507.27,0.66868,0.85806,0.59945,0.98232,0,0.69172,0.55041,0.57912,0.38695,0.69091,0.50637,0.52791,0.2157,1.12826,0.95344,1.27168,1.27421,0,7.69e-05,7.69e-05,7.69e-05
37,2570.84,0.70537,0.93879,0.59555,1.00055,0,0.73837,0.53998,0.58744,0.38606,0.69275,0.50422,0.51712,0.21443,1.1439,0.97545,1.25741,1.27516,0,7.624e-05,7.624e-05,7.624e-05
38,2637.54,0.65715,0.82785,0.5694,0.97608,0,0.69163,0.53998,0.55498,0.37276,0.67203,0.49131,0.48317,0.19779,1.13181,1.00195,1.32826,1.26231,0,7.558e-05,7.558e-05,7.558e-05
39,2706.25,0.62571,0.85551,0.54801,0.95467,0,0.69645,0.54235,0.58518,0.39416,0.65747,0.50521,0.50947,0.21514,1.13081,0.99281,1.30034,1.2574,0,7.492e-05,7.492e-05,7.492e-05
40,2773.68,0.69517,0.91475,0.59753,0.97568,0,0.70525,0.55504,0.58708,0.39488,0.71213,0.50164,0.51867,0.21375,1.12959,0.97139,1.26319,1.25395,0,7.426e-05,7.426e-05,7.426e-05
41,2841.49,0.66104,0.90827,0.56632,0.96773,0,0.66005,0.55968,0.58342,0.39714,0.67073,0.51217,0.52484,0.21921,1.09317,0.93647,1.29915,1.23162,0,7.36e-05,7.36e-05,7.36e-05
42,2905.86,0.64293,0.83982,0.52938,0.96059,0,0.65174,0.59676,0.60299,0.40281,0.63656,0.54461,0.54015,0.22541,1.11231,0.931,1.23614,1.24136,0,7.294e-05,7.294e-05,7.294e-05
43,2976.5,0.62356,0.84364,0.53873,0.96583,0,0.72209,0.54461,0.60996,0.40922,0.68782,0.51912,0.54433,0.23382,1.10473,0.93452,1.20125,1.22891,0,7.228e-05,7.228e-05,7.228e-05
44,3052.14,0.62785,0.8566,0.52426,0.95302,0,0.69427,0.56083,0.59934,0.39281,0.65148,0.51564,0.51693,0.21325,1.14683,0.98512,1.25781,1.26827,0,7.162e-05,7.162e-05,7.162e-05
45,3121.13,0.63851,0.89785,0.51618,0.95654,0,0.67741,0.56315,0.59988,0.39028,0.62155,0.50521,0.48976,0.19908,1.14872,0.98283,1.24186,1.27464,0,7.096e-05,7.096e-05,7.096e-05
46,3189.66,0.61605,0.86335,0.50355,0.9521,0,0.67557,0.5562,0.59687,0.39659,0.66144,0.51217,0.51738,0.22403,1.12207,0.96299,1.2734,1.25548,0,7.03e-05,7.03e-05,7.03e-05
47,3255.82,0.62882,0.87858,0.52553,0.94211,0,0.72107,0.55852,0.61649,0.40951,0.70558,0.51564,0.54505,0.22982,1.12861,0.96266,1.2334,1.26775,0,6.964e-05,6.964e-05,6.964e-05
48,3320.04,0.59218,0.85308,0.49482,0.94162,0,0.68755,0.5737,0.5961,0.40333,0.67336,0.53187,0.52659,0.21475,1.10354,0.97018,1.26338,1.24711,0,6.898e-05,6.898e-05,6.898e-05
49,3383.66,0.62797,0.83829,0.51645,0.96564,0,0.73774,0.55504,0.60075,0.4105,0.72204,0.50521,0.53073,0.22678,1.07797,0.95388,1.2209,1.21913,0,6.832e-05,6.832e-05,6.832e-05
50,3450.45,0.60352,0.79414,0.50031,0.94742,0,0.67178,0.58749,0.5849,0.39701,0.63687,0.54461,0.51278,0.22334,1.13314,0.94672,1.25395,1.27212,0,6.766e-05,6.766e-05,6.766e-05
51,3513.19,0.64545,0.85681,0.52855,0.9614,0,0.74199,0.5365,0.61113,0.41158,0.69003,0.50559,0.52905,0.22507,1.13373,0.95513,1.22939,1.27576,0,6.7e-05,6.7e-05,6.7e-05
52,3575.51,0.6192,0.87016,0.51947,0.94941,0,0.72909,0.58285,0.6267,0.41844,0.68737,0.53766,0.53624,0.22968,1.1187,0.93016,1.18914,1.2632,0,6.634e-05,6.634e-05,6.634e-05
53,3645.82,0.58999,0.82265,0.48049,0.9424,0,0.74315,0.56431,0.61232,0.40928,0.71413,0.52392,0.54297,0.23034,1.10317,0.93446,1.21745,1.25045,0,6.568e-05,6.568e-05,6.568e-05
54,3712.6,0.60872,0.81619,0.50913,0.93865,0,0.73944,0.53534,0.57844,0.38384,0.71455,0.51448,0.52223,0.21251,1.09778,0.95931,1.2959,1.25232,0,6.502e-05,6.502e-05,6.502e-05
55,3776.67,0.58179,0.81433,0.48724,0.92993,0,0.72882,0.54811,0.60207,0.40902,0.70536,0.5168,0.53906,0.21427,1.08556,0.97532,1.24804,1.24814,0,6.436e-05,6.436e-05,6.436e-05
56,3841.85,0.56078,0.76995,0.48821,0.9358,0,0.75379,0.55697,0.60007,0.40551,0.71375,0.53418,0.53467,0.22591,1.09641,0.95042,1.25224,1.23103,0,6.37e-05,6.37e-05,6.37e-05
57,3904.02,0.60419,0.83324,0.50991,0.93909,0,0.71929,0.57603,0.60966,0.41959,0.68994,0.53534,0.53729,0.22248,1.09504,0.9573,1.18664,1.22228,0,6.304e-05,6.304e-05,6.304e-05
58,3971.04,0.57492,0.78975,0.48408,0.93713,0,0.74084,0.55647,0.61923,0.42523,0.70223,0.52467,0.53281,0.22599,1.05864,0.97785,1.18216,1.2162,0,6.238e-05,6.238e-05,6.238e-05
59,4038.47,0.57481,0.81486,0.45977,0.93761,0,0.69314,0.57321,0.60919,0.421,0.71468,0.49479,0.51663,0.20814,1.07226,1.03161,1.20463,1.24135,0,6.172e-05,6.172e-05,6.172e-05
60,4102.91,0.5885,0.88621,0.4935,0.93708,0,0.76809,0.56315,0.633,0.43431,0.73493,0.52723,0.56037,0.24181,1.07143,0.98268,1.14157,1.22426,0,6.106e-05,6.106e-05,6.106e-05
61,4177.42,0.59393,0.82534,0.47023,0.92976,0,0.753,0.55462,0.61969,0.42814,0.72239,0.52491,0.56673,0.24552,1.06956,0.94307,1.13254,1.22167,0,6.04e-05,6.04e-05,6.04e-05
62,4244.32,0.57715,0.79627,0.46393,0.92115,0,0.74053,0.54567,0.60399,0.4158,0.70957,0.54345,0.55988,0.23486,1.101,0.93554,1.19907,1.25831,0,5.974e-05,5.974e-05,5.974e-05
63,4311.02,0.55344,0.82862,0.44308,0.92556,0,0.72051,0.56315,0.60582,0.41811,0.74688,0.51101,0.5542,0.23478,1.09827,0.94248,1.22307,1.25035,0,5.908e-05,5.908e-05,5.908e-05
64,4378.09,0.57604,0.80234,0.45805,0.92698,0,0.74808,0.54114,0.58938,0.4064,0.73077,0.50058,0.51945,0.22471,1.07864,0.94204,1.26289,1.25372,0,5.842e-05,5.842e-05,5.842e-05
65,4441.89,0.56888,0.77158,0.43272,0.91727,0,0.7594,0.52723,0.58904,0.41016,0.73286,0.49594,0.52245,0.22331,1.06499,0.94955,1.27857,1.24225,0,5.776e-05,5.776e-05,5.776e-05
66,4509.07,0.55548,0.80276,0.42839,0.92244,0,0.78105,0.53882,0.59737,0.42104,0.74077,0.50058,0.52656,0.2309,1.04841,0.96188,1.24787,1.22254,0,5.71e-05,5.71e-05,5.71e-05
67,4573.45,0.53696,0.7812,0.41744,0.9115,0,0.74699,0.57133,0.60561,0.42485,0.68908,0.54188,0.5361,0.23578,1.05782,0.95934,1.26019,1.22587,0,5.644e-05,5.644e-05,5.644e-05
68,4639.54,0.56339,0.76391,0.44426,0.92681,0,0.77959,0.53691,0.6074,0.42028,0.69999,0.51217,0.53142,0.22728,1.08156,0.96448,1.23884,1.24564,0,5.578e-05,5.578e-05,5.578e-05
69,4707.25,0.57567,0.84239,0.44456,0.92438,0,0.74112,0.57126,0.62441,0.43203,0.72732,0.50997,0.53683,0.23991,1.07394,0.94923,1.18331,1.24391,0,5.512e-05,5.512e-05,5.512e-05
70,4771.23,0.54473,0.79149,0.43355,0.92047,0,0.74847,0.5562,0.62107,0.4342,0.73046,0.50985,0.53659,0.24189,1.04909,0.94257,1.17121,1.22411,0,5.446e-05,5.446e-05,5.446e-05
71,4837.85,0.51237,0.78301,0.41305,0.91197,0,0.75061,0.55041,0.59857,0.42072,0.7261,0.52839,0.54228,0.23194,1.04921,0.92919,1.2131,1.23688,0,5.38e-05,5.38e-05,5.38e-05
72,4901.06,0.55111,0.76481,0.42168,0.92197,0,0.74065,0.56917,0.6031,0.42467,0.71335,0.54229,0.54337,0.23353,1.05488,0.94463,1.21749,1.21508,0,5.314e-05,5.314e-05,5.314e-05
73,4965.99,0.5141,0.75491,0.41066,0.9079,0,0.7677,0.56779,0.60973,0.42924,0.71626,0.52068,0.52282,0.21086,1.06275,1.03517,1.20166,1.22699,0,5.248e-05,5.248e-05,5.248e-05
74,5027.57,0.5442,0.8241,0.44376,0.91723,0,0.7391,0.56779,0.60918,0.43127,0.69339,0.52672,0.52325,0.20378,1.0454,1.04665,1.18835,1.2191,0,5.182e-05,5.182e-05,5.182e-05
75,5090.41,0.54558,0.75504,0.41586,0.91225,0,0.73492,0.57706,0.60457,0.42415,0.69739,0.53675,0.53653,0.2322,1.03968,0.9696,1.22109,1.21709,0,5.116e-05,5.116e-05,5.116e-05
76,5154.09,0.53402,0.79365,0.40653,0.91489,0,0.70987,0.5956,0.60543,0.42662,0.70027,0.55041,0.54132,0.2363,1.03631,0.94556,1.21657,1.21672,0,5.05e-05,5.05e-05,5.05e-05
77,5220.82,0.49561,0.73379,0.39449,0.91469,0,0.70916,0.59617,0.61317,0.43421,0.72251,0.531,0.54662,0.24284,1.02984,0.94879,1.17945,1.2076,0,4.984e-05,4.984e-05,4.984e-05
78,5289.53,0.53183,0.75189,0.42981,0.90669,0,0.70822,0.58864,0.61253,0.43736,0.67776,0.55272,0.54154,0.23305,1.03022,0.96402,1.1678,1.21702,0,4.918e-05,4.918e-05,4.918e-05
79,5353.96,0.53465,0.7862,0.42047,0.91062,0,0.76365,0.56315,0.61763,0.43596,0.73028,0.5226,0.54461,0.23622,1.04098,0.95207,1.18483,1.21586,0,4.852e-05,4.852e-05,4.852e-05
80,5421.13,0.54002,0.76433,0.41519,0.91325,0,0.74552,0.57368,0.62901,0.43331,0.72924,0.52491,0.55819,0.23944,1.05061,0.94782,1.17729,1.22479,0,4.786e-05,4.786e-05,4.786e-05
81,5486.82,0.5243,0.76402,0.40558,0.90279,0,0.75788,0.56221,0.62054,0.42428,0.71206,0.52726,0.54473,0.23812,1.04135,0.95681,1.21393,1.22708,0,4.72e-05,4.72e-05,4.72e-05
82,5556.55,0.50128,0.74943,0.3976,0.89515,0,0.74078,0.56293,0.61376,0.42621,0.72592,0.51796,0.54557,0.23289,1.04218,0.97526,1.20692,1.23527,0,4.654e-05,4.654e-05,4.654e-05
83,5624.06,0.49794,0.74857,0.40557,0.90211,0,0.75705,0.55245,0.60835,0.42168,0.72264,0.53302,0.56094,0.23806,1.03599,0.96351,1.22732,1.22705,0,4.588e-05,4.588e-05,4.588e-05
84,5688.07,0.52957,0.79104,0.41989,0.90502,0,0.75306,0.56185,0.62177,0.43363,0.71568,0.53378,0.55553,0.24122,1.02689,0.96469,1.19924,1.22458,0,4.522e-05,4.522e-05,4.522e-05
85,5752.53,0.55746,0.82573,0.41939,0.90736,0,0.75169,0.57528,0.61741,0.43279,0.70622,0.5376,0.54311,0.24222,1.02048,0.95478,1.18447,1.2248,0,4.456e-05,4.456e-05,4.456e-05
86,5820.2,0.48862,0.72318,0.38092,0.89546,0,0.7571,0.57126,0.61607,0.42656,0.72798,0.53649,0.55398,0.23859,1.04187,0.95976,1.20544,1.23783,0,4.39e-05,4.39e-05,4.39e-05
87,5887.92,0.50498,0.7377,0.39972,0.90851,0,0.77966,0.54124,0.60327,0.41515,0.7375,0.51113,0.5365,0.22854,1.06909,0.98269,1.25299,1.26448,0,4.324e-05,4.324e-05,4.324e-05
88,5954.75,0.50552,0.72897,0.39251,0.90689,0,0.7347,0.56798,0.61048,0.42256,0.73562,0.50985,0.53234,0.22197,1.042,0.97305,1.22187,1.23944,0,4.258e-05,4.258e-05,4.258e-05
89,6021,0.49186,0.7251,0.37505,0.89251,0,0.74961,0.55158,0.60938,0.42899,0.74637,0.5149,0.5588,0.24275,1.03863,0.94455,1.23553,1.22312,0,4.192e-05,4.192e-05,4.192e-05
90,6083.14,0.49253,0.72605,0.37251,0.90184,0,0.69712,0.5956,0.60722,0.42049,0.66013,0.56315,0.54893,0.23619,1.03457,0.9387,1.24405,1.22612,0,4.126e-05,4.126e-05,4.126e-05
91,6145.38,0.53302,0.77404,0.40442,0.90767,0,0.72692,0.58169,0.61035,0.43116,0.74312,0.51958,0.54553,0.23295,1.01107,0.96283,1.21083,1.19991,0,4.06e-05,4.06e-05,4.06e-05
92,6213.34,0.496,0.72886,0.38157,0.89685,0,0.76811,0.55272,0.61268,0.42934,0.71317,0.5168,0.521,0.22208,1.01968,0.97934,1.21881,1.20366,0,3.994e-05,3.994e-05,3.994e-05
93,6277.04,0.52222,0.77051,0.417,0.90346,0,0.74805,0.58486,0.62318,0.43782,0.71204,0.53998,0.53955,0.23567,1.02291,0.95467,1.2361,1.21349,0,3.928e-05,3.928e-05,3.928e-05
94,6340.13,0.50041,0.74784,0.39615,0.90072,0,0.69389,0.59096,0.61521,0.43421,0.74908,0.51564,0.54709,0.24372,1.03144,0.93342,1.26747,1.2328,0,3.862e-05,3.862e-05,3.862e-05
95,6410.2,0.48725,0.72267,0.37536,0.88875,0,0.78237,0.55041,0.61509,0.43688,0.74076,0.51912,0.5382,0.23262,1.01753,0.93961,1.22496,1.22718,0,3.796e-05,3.796e-05,3.796e-05
96,6474.9,0.47117,0.73439,0.36852,0.88954,0,0.72698,0.57126,0.6049,0.42275,0.71392,0.53534,0.54516,0.23211,1.04866,0.94826,1.22252,1.24675,0,3.73e-05,3.73e-05,3.73e-05
97,6535.45,0.49672,0.75696,0.39181,0.89776,0,0.70225,0.58285,0.61038,0.42605,0.73594,0.51333,0.53362,0.22252,1.03763,0.95776,1.21402,1.25652,0,3.664e-05,3.664e-05,3.664e-05
98,6598.55,0.48775,0.73084,0.38026,0.89424,0,0.77009,0.56663,0.62537,0.43649,0.73407,0.51817,0.54691,0.23141,1.04222,0.9568,1.22325,1.25978,0,3.598e-05,3.598e-05,3.598e-05
99,6663.16,0.48087,0.72435,0.37202,0.89153,0,0.77399,0.5562,0.62613,0.44178,0.73497,0.52375,0.55258,0.2378,1.02989,0.95534,1.20759,1.23562,0,3.532e-05,3.532e-05,3.532e-05
100,6733.14,0.46736,0.70048,0.36328,0.88723,0,0.70583,0.59791,0.61744,0.43878,0.73203,0.53495,0.5439,0.24352,1.00589,0.94556,1.19323,1.21886,0,3.466e-05,3.466e-05,3.466e-05
101,6801.11,0.46749,0.69698,0.35742,0.89151,0,0.71176,0.59676,0.61596,0.43544,0.70107,0.55388,0.55198,0.24905,1.01086,0.93614,1.19452,1.21254,0,3.4e-05,3.4e-05,3.4e-05
102,6871.51,0.49201,0.72793,0.38007,0.89634,0,0.70195,0.6095,0.62101,0.43895,0.72174,0.54577,0.55427,0.24157,1.01525,0.95306,1.16981,1.21032,0,3.334e-05,3.334e-05,3.334e-05
103,6940.53,0.49067,0.72669,0.36779,0.88745,0,0.76421,0.58588,0.62659,0.43999,0.7262,0.54577,0.55687,0.23841,1.02431,0.95782,1.1491,1.22726,0,3.268e-05,3.268e-05,3.268e-05
104,7008.26,0.464,0.72351,0.35327,0.88427,0,0.77635,0.57474,0.63068,0.43847,0.72156,0.53418,0.54785,0.23864,1.03916,0.94796,1.18089,1.24165,0,3.202e-05,3.202e-05,3.202e-05
105,7075.82,0.49175,0.74852,0.36099,0.89972,0,0.77422,0.57822,0.63101,0.43544,0.71643,0.53534,0.55104,0.23532,1.0424,0.95999,1.16462,1.24943,0,3.136e-05,3.136e-05,3.136e-05
106,7145.94,0.49321,0.73717,0.36899,0.89994,0,0.78803,0.58169,0.6328,0.43773,0.74341,0.53998,0.55875,0.24116,1.03092,0.96045,1.15708,1.22526,0,3.07e-05,3.07e-05,3.07e-05
107,7214.16,0.47385,0.70892,0.35699,0.88684,0,0.77677,0.57242,0.63104,0.44223,0.73014,0.54865,0.56966,0.24723,1.01546,0.95826,1.16653,1.21761,0,3.004e-05,3.004e-05,3.004e-05
108,7287.52,0.46897,0.71863,0.3676,0.88875,0,0.75925,0.58633,0.61672,0.43926,0.70853,0.54926,0.55048,0.23939,1.03231,0.97747,1.18215,1.24266,0,2.938e-05,2.938e-05,2.938e-05
109,7352.58,0.45452,0.69408,0.34883,0.88314,0,0.7864,0.55852,0.61249,0.43499,0.75499,0.50637,0.54159,0.24465,1.03617,0.96098,1.20066,1.24147,0,2.872e-05,2.872e-05,2.872e-05
110,7416.95,0.47893,0.73607,0.36037,0.89643,0,0.77197,0.55852,0.61288,0.43888,0.76168,0.51107,0.54649,0.24351,1.02908,0.9463,1.19132,1.24108,0,2.806e-05,2.806e-05,2.806e-05
111,7482.53,0.45361,0.6917,0.34106,0.88184,0,0.74856,0.57954,0.61775,0.43985,0.77224,0.51333,0.54661,0.23888,1.01858,0.94774,1.18453,1.22589,0,2.74e-05,2.74e-05,2.74e-05
112,7545.46,0.46497,0.71588,0.35865,0.89305,0,0.76562,0.57474,0.62064,0.43841,0.73374,0.53882,0.54826,0.23767,1.03796,0.95132,1.17473,1.23615,0,2.674e-05,2.674e-05,2.674e-05
113,7608.64,0.48324,0.74203,0.37509,0.90781,0,0.75242,0.5898,0.62604,0.43789,0.74397,0.53302,0.5485,0.23882,1.02914,0.94878,1.16676,1.23357,0,2.608e-05,2.608e-05,2.608e-05
114,7668.96,0.4615,0.69672,0.35597,0.90065,0,0.75021,0.5777,0.62184,0.43998,0.75324,0.52839,0.55011,0.24159,1.01752,0.94235,1.16728,1.22152,0,2.542e-05,2.542e-05,2.542e-05
115,7735.64,0.46575,0.73831,0.34754,0.89205,0,0.78497,0.55413,0.62223,0.44003,0.74274,0.51448,0.53901,0.23541,1.02089,0.97291,1.17249,1.22614,0,2.476e-05,2.476e-05,2.476e-05
