epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13079.5,1.19523,1.63603,1.68163,1.39176,0,0.53062,0.4087,0.41584,0.24403,0.2604,0.29316,0.14952,0.03573,1.36479,1.59477,1.80068,1.40594,0,3.31691e-05,3.31691e-05,0.066864
2,17553.3,1.11369,1.19574,1.39024,1.29916,0,0.5268,0.42642,0.39908,0.23689,0.47973,0.40388,0.34052,0.12375,1.23377,1.07019,1.61104,1.31775,0,6.60635e-05,6.60635e-05,0.0335636
3,22060.3,1.05165,1.19336,1.25147,1.26309,0,0.63048,0.42294,0.48643,0.28157,0.58239,0.4241,0.43648,0.16016,1.31126,1.00764,1.48296,1.36012,0,9.8518e-05,9.8518e-05,0.000262722
