epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1741.22,0.85369,1.0077,0.83904,1.04797,0,0.66566,0.52028,0.53155,0.31641,0.63483,0.47277,0.45102,0.16493,1.30965,1.06989,1.42951,1.31824,0,8.218e-05,8.218e-05,8.218e-05
29,1797.91,0.83353,0.97668,0.77432,1.03045,0,0.67039,0.4855,0.50698,0.30503,0.59302,0.46234,0.44108,0.16915,1.3174,1.03012,1.49454,1.33577,0,8.152e-05,8.152e-05,8.152e-05
30,1858.87,0.81891,0.95489,0.79772,1.03778,0,0.60597,0.5168,0.49686,0.29174,0.59856,0.4971,0.44505,0.16469,1.31809,1.03492,1.48689,1.32973,0,8.086e-05,8.086e-05,8.086e-05
31,1916.56,0.79283,0.94132,0.75443,1.03287,0,0.59039,0.51912,0.50424,0.30298,0.59057,0.48304,0.44992,0.16238,1.34115,1.0705,1.4759,1.34393,0,8.02e-05,8.02e-05,8.02e-05
32,1974.82,0.80034,0.93809,0.76171,1.02443,0,0.66579,0.52491,0.52065,0.31307,0.63931,0.50637,0.46055,0.15858,1.36326,1.06658,1.43934,1.37817,0,7.954e-05,7.954e-05,7.954e-05
33,2035.91,0.82779,0.97105,0.78714,1.03852,0,0.68635,0.50753,0.54148,0.31828,0.64459,0.5029,0.48866,0.17777,1.3797,1.05126,1.39843,1.39129,0,7.888e-05,7.888e-05,7.888e-05
34,2099.97,0.83005,0.97121,0.7824,1.03063,0,0.64456,0.51271,0.5269,0.31274,0.61963,0.48552,0.47429,0.17222,1.35105,1.09725,1.44008,1.37295,0,7.822e-05,7.822e-05,7.822e-05
35,2157.84,0.8091,1.01663,0.74702,1.02838,0,0.66822,0.4971,0.52738,0.32204,0.61737,0.46813,0.47121,0.17789,1.32488,1.05171,1.46356,1.34733,0,7.756e-05,7.756e-05,7.756e-05
36,2218.33,0.80029,1.00748,0.75292,1.01054,0,0.66146,0.50941,0.52295,0.32181,0.61616,0.47805,0.45426,0.16563,1.32711,1.06302,1.42949,1.35396,0,7.69e-05,7.69e-05,7.69e-05
37,2283.42,0.82022,0.97451,0.73602,1.03456,0,0.68459,0.47625,0.48355,0.29496,0.65511,0.44612,0.43189,0.15312,1.35721,1.05532,1.4959,1.36942,0,7.624e-05,7.624e-05,7.624e-05
38,2342.92,0.77527,0.96925,0.70474,1.01601,0,0.65864,0.51448,0.51213,0.31372,0.62391,0.47509,0.44977,0.1617,1.32801,1.03948,1.44541,1.34307,0,7.558e-05,7.558e-05,7.558e-05
39,2401.54,0.75574,0.92287,0.68303,1.00102,0,0.64526,0.52375,0.52839,0.32329,0.61132,0.48436,0.47455,0.17572,1.31684,1.03706,1.41592,1.33761,0,7.492e-05,7.492e-05,7.492e-05
40,2458.35,0.77057,0.93192,0.68458,1.00052,0,0.6443,0.52893,0.52368,0.3125,0.62039,0.50058,0.47044,0.17903,1.32376,1.04573,1.42835,1.3497,0,7.426e-05,7.426e-05,7.426e-05
41,2517.08,0.77538,0.95097,0.70227,1.00804,0,0.70589,0.49015,0.52799,0.32377,0.68686,0.46004,0.47236,0.18189,1.31815,1.06435,1.40181,1.36034,0,7.36e-05,7.36e-05,7.36e-05
42,2576.89,0.74515,0.92974,0.65291,0.99324,0,0.68134,0.51448,0.53982,0.3304,0.66168,0.49363,0.48805,0.182,1.30688,1.05278,1.39429,1.34528,0,7.294e-05,7.294e-05,7.294e-05
43,2640.07,0.73249,0.92006,0.66357,0.99542,0,0.68065,0.50985,0.52429,0.3212,0.64393,0.48552,0.4756,0.17359,1.32341,1.06044,1.42008,1.35499,0,7.228e-05,7.228e-05,7.228e-05
44,2701.9,0.72668,0.92416,0.64966,0.98377,0,0.60536,0.53187,0.50919,0.31296,0.59872,0.49619,0.44306,0.17124,1.3283,1.0547,1.45182,1.35763,0,7.162e-05,7.162e-05,7.162e-05
45,2763.74,0.74709,0.95686,0.63195,0.98619,0,0.65048,0.52835,0.53766,0.33535,0.6567,0.46929,0.46674,0.17821,1.30693,1.07208,1.39754,1.34505,0,7.096e-05,7.096e-05,7.096e-05
46,2824.85,0.75846,0.90674,0.67933,1.00156,0,0.64545,0.52104,0.54344,0.34213,0.6472,0.47045,0.47739,0.1879,1.29712,1.04773,1.42139,1.34911,0,7.03e-05,7.03e-05,7.03e-05
47,2885.77,0.76651,0.9217,0.66401,0.98737,0,0.65354,0.55272,0.53943,0.33208,0.63227,0.48552,0.46584,0.17266,1.3015,1.0534,1.39984,1.34585,0,6.964e-05,6.964e-05,6.964e-05
48,2944.32,0.73558,0.91737,0.63758,0.98185,0,0.66319,0.48826,0.52677,0.32095,0.6658,0.45191,0.46324,0.1781,1.31358,1.04762,1.43364,1.3556,0,6.898e-05,6.898e-05,6.898e-05
49,3007.16,0.76316,0.94861,0.67553,0.99511,0,0.61503,0.54577,0.51944,0.31574,0.68374,0.45655,0.46715,0.18107,1.3146,1.02566,1.40879,1.34929,0,6.832e-05,6.832e-05,6.832e-05
50,3065.8,0.73257,0.91406,0.65236,0.98964,0,0.6989,0.49826,0.53109,0.32766,0.6859,0.47509,0.47639,0.18734,1.30581,1.03147,1.40634,1.3466,0,6.766e-05,6.766e-05,6.766e-05
51,3127.99,0.74497,0.91086,0.66598,0.98923,0,0.69656,0.50058,0.53531,0.33541,0.66736,0.47193,0.47849,0.18416,1.30394,1.07137,1.43136,1.3538,0,6.7e-05,6.7e-05,6.7e-05
52,3186.57,0.73892,0.94169,0.64167,0.98645,0,0.6776,0.52028,0.5297,0.33106,0.65901,0.50836,0.48508,0.17895,1.28804,1.04854,1.37992,1.34561,0,6.634e-05,6.634e-05,6.634e-05
53,3248.59,0.71448,0.91669,0.61886,0.97776,0,0.70431,0.4968,0.52207,0.33619,0.68051,0.47856,0.49348,0.19309,1.29332,1.04719,1.42799,1.35253,0,6.568e-05,6.568e-05,6.568e-05
54,3307.22,0.73995,0.94196,0.62645,0.9901,0,0.69848,0.49363,0.51505,0.32721,0.70504,0.46929,0.47861,0.17911,1.28445,1.0499,1.43655,1.35028,0,6.502e-05,6.502e-05,6.502e-05
55,3368.66,0.70844,0.92397,0.61304,0.97178,0,0.66734,0.51605,0.5243,0.32832,0.66626,0.49015,0.48049,0.17658,1.27732,1.06283,1.40663,1.33184,0,6.436e-05,6.436e-05,6.436e-05
56,3428.57,0.68334,0.85703,0.59855,0.96577,0,0.67349,0.52144,0.52991,0.32278,0.64757,0.49826,0.47677,0.17478,1.2857,1.0598,1.38213,1.32768,0,6.37e-05,6.37e-05,6.37e-05
57,3492.69,0.71199,0.91661,0.61278,0.98314,0,0.69926,0.53418,0.56091,0.34632,0.67112,0.50174,0.4986,0.18654,1.26669,1.07271,1.34093,1.32248,0,6.304e-05,6.304e-05,6.304e-05
58,3553.95,0.68116,0.8902,0.57158,0.95846,0,0.66416,0.53623,0.55037,0.33813,0.65121,0.51564,0.50549,0.1886,1.28669,1.06876,1.37886,1.34398,0,6.238e-05,6.238e-05,6.238e-05
59,3616.15,0.70794,0.94604,0.61329,0.97946,0,0.62132,0.54186,0.53314,0.33255,0.62276,0.48783,0.47638,0.1821,1.28461,1.05298,1.42579,1.35084,0,6.172e-05,6.172e-05,6.172e-05
60,3676.38,0.69116,0.87729,0.58309,0.98068,0,0.62455,0.5226,0.51105,0.32293,0.61101,0.49247,0.47703,0.18222,1.2682,1.0382,1.4501,1.32989,0,6.106e-05,6.106e-05,6.106e-05
61,3736.28,0.67307,0.86038,0.55984,0.95654,0,0.64808,0.52839,0.51748,0.32187,0.61855,0.50174,0.48309,0.1868,1.27893,1.03935,1.44245,1.34792,0,6.04e-05,6.04e-05,6.04e-05
62,3796.27,0.69769,0.87574,0.57598,0.96541,0,0.67121,0.53187,0.53664,0.33408,0.65896,0.5029,0.49205,0.18587,1.27826,1.04389,1.4197,1.32967,0,5.974e-05,5.974e-05,5.974e-05
63,3855.31,0.67343,0.89433,0.57156,0.9517,0,0.69461,0.52028,0.53899,0.32901,0.62697,0.4832,0.46145,0.17394,1.28478,1.06687,1.4044,1.33387,0,5.908e-05,5.908e-05,5.908e-05
64,3913.51,0.67845,0.89169,0.56673,0.95879,0,0.58937,0.55156,0.52291,0.31825,0.59069,0.50174,0.46752,0.18364,1.29466,1.04749,1.46529,1.35052,0,5.842e-05,5.842e-05,5.842e-05
65,3973.06,0.67079,0.89661,0.57495,0.95373,0,0.64811,0.51648,0.52123,0.32019,0.64876,0.4832,0.49098,0.1895,1.2899,1.03391,1.43282,1.34068,0,5.776e-05,5.776e-05,5.776e-05
66,4032.48,0.67113,0.82698,0.55877,0.96182,0,0.6902,0.49247,0.51884,0.32291,0.67451,0.4635,0.47104,0.18708,1.28252,1.0482,1.48655,1.32988,0,5.71e-05,5.71e-05,5.71e-05
67,4092.12,0.71365,0.92041,0.59226,0.97276,0,0.66896,0.52028,0.52899,0.32935,0.6753,0.47045,0.48159,0.18731,1.27902,1.05277,1.45066,1.33217,0,5.644e-05,5.644e-05,5.644e-05
68,4157.01,0.64044,0.8554,0.56266,0.94985,0,0.68663,0.51448,0.53916,0.33971,0.59927,0.51101,0.49208,0.19159,1.27016,1.06594,1.43566,1.3365,0,5.578e-05,5.578e-05,5.578e-05
69,4218.64,0.67494,0.90131,0.56696,0.96395,0,0.69862,0.51912,0.54766,0.34441,0.65958,0.4971,0.49404,0.18317,1.27822,1.10373,1.38906,1.33345,0,5.512e-05,5.512e-05,5.512e-05
70,4280.53,0.67848,0.88306,0.58242,0.97037,0,0.64618,0.54345,0.54087,0.33413,0.70146,0.47277,0.48771,0.18362,1.27421,1.11479,1.3719,1.33659,0,5.446e-05,5.446e-05,5.446e-05
71,4345.76,0.66903,0.87434,0.57921,0.96508,0,0.68502,0.53929,0.54634,0.34101,0.6825,0.50564,0.50525,0.19746,1.26328,1.07924,1.38345,1.32089,0,5.38e-05,5.38e-05,5.38e-05
72,4409.82,0.66627,0.86474,0.56219,0.95714,0,0.67622,0.54925,0.54682,0.3412,0.65848,0.52028,0.50033,0.19323,1.24964,1.05237,1.37308,1.31344,0,5.314e-05,5.314e-05,5.314e-05
73,4470.79,0.62795,0.84995,0.53296,0.94233,0,0.66972,0.52867,0.53264,0.32872,0.65884,0.49015,0.47326,0.18414,1.29791,1.05871,1.4344,1.3655,0,5.248e-05,5.248e-05,5.248e-05
74,4534.63,0.65824,0.88482,0.55185,0.94569,0,0.68604,0.52667,0.52652,0.32717,0.67661,0.48246,0.46807,0.17728,1.29792,1.08157,1.41835,1.34537,0,5.182e-05,5.182e-05,5.182e-05
75,4596.25,0.65282,0.85384,0.55362,0.95518,0,0.6868,0.52607,0.51767,0.31672,0.67483,0.49778,0.48442,0.17753,1.30245,1.06562,1.44642,1.36145,0,5.116e-05,5.116e-05,5.116e-05
76,4658.85,0.66854,0.88806,0.54082,0.94918,0,0.63901,0.52955,0.53862,0.33433,0.7189,0.45655,0.4927,0.18527,1.27879,1.04671,1.42616,1.34791,0,5.05e-05,5.05e-05,5.05e-05
77,4716.35,0.62626,0.85082,0.50681,0.94522,0,0.63278,0.56315,0.54872,0.3453,0.62687,0.50637,0.4957,0.19094,1.26286,1.0474,1.38838,1.33133,0,4.984e-05,4.984e-05,4.984e-05
78,4777.67,0.65927,0.86229,0.54617,0.94193,0,0.6804,0.52375,0.54779,0.35048,0.67813,0.4971,0.51356,0.20212,1.25362,1.05147,1.39836,1.30947,0,4.918e-05,4.918e-05,4.918e-05
79,4842.43,0.64706,0.84112,0.52668,0.94576,0,0.65267,0.52375,0.5436,0.34516,0.63892,0.51055,0.50953,0.20354,1.26475,1.04407,1.42877,1.30851,0,4.852e-05,4.852e-05,4.852e-05
80,4907.76,0.64836,0.8216,0.52168,0.94563,0,0.67373,0.50985,0.52704,0.33635,0.68367,0.46698,0.49529,0.19735,1.26207,1.0319,1.474,1.32531,0,4.786e-05,4.786e-05,4.786e-05
81,4968.08,0.63678,0.84478,0.51917,0.94083,0,0.68627,0.5168,0.52958,0.34162,0.65588,0.4971,0.49767,0.19654,1.25628,1.03201,1.46482,1.3366,0,4.72e-05,4.72e-05,4.72e-05
82,5032.97,0.65179,0.84972,0.52401,0.94647,0,0.67747,0.5233,0.54202,0.35019,0.6598,0.49942,0.50131,0.20163,1.23797,1.04175,1.40208,1.31284,0,4.654e-05,4.654e-05,4.654e-05
83,5093.43,0.63258,0.8467,0.52824,0.94393,0,0.67595,0.52375,0.53784,0.34925,0.64405,0.50985,0.50787,0.20488,1.23289,1.03264,1.43201,1.30533,0,4.588e-05,4.588e-05,4.588e-05
84,5153.97,0.61903,0.83532,0.50145,0.9415,0,0.65362,0.5365,0.52575,0.34356,0.68913,0.4832,0.49011,0.18898,1.23626,1.03952,1.43261,1.31113,0,4.522e-05,4.522e-05,4.522e-05
85,5212.04,0.61923,0.85943,0.49461,0.93837,0,0.71927,0.50869,0.53563,0.34406,0.66475,0.49363,0.49555,0.18753,1.23466,1.05168,1.40986,1.31522,0,4.456e-05,4.456e-05,4.456e-05
86,5271.74,0.60642,0.86072,0.50042,0.9365,0,0.66256,0.5365,0.53247,0.338,0.64925,0.50985,0.48759,0.18855,1.25857,1.06043,1.4207,1.3431,0,4.39e-05,4.39e-05,4.39e-05
87,5333.76,0.62556,0.91526,0.51101,0.93997,0,0.68059,0.50753,0.51935,0.33287,0.68269,0.4832,0.48031,0.18347,1.26922,1.08475,1.43825,1.35037,0,4.324e-05,4.324e-05,4.324e-05
88,5391.58,0.6243,0.84948,0.51846,0.94556,0,0.67639,0.52607,0.5251,0.34043,0.69749,0.48893,0.48977,0.18903,1.25717,1.10122,1.40351,1.33208,0,4.258e-05,4.258e-05,4.258e-05
89,5450.74,0.62177,0.86033,0.506,0.92315,0,0.68716,0.5226,0.53639,0.34589,0.69158,0.49131,0.50327,0.19653,1.25987,1.07758,1.40082,1.32414,0,4.192e-05,4.192e-05,4.192e-05
90,5508.27,0.62118,0.82874,0.50829,0.93884,0,0.68824,0.53719,0.54692,0.35238,0.6703,0.49237,0.49641,0.19756,1.26502,1.0885,1.39488,1.32825,0,4.126e-05,4.126e-05,4.126e-05
91,5567.79,0.62716,0.86039,0.49533,0.93098,0,0.70023,0.53187,0.55186,0.35423,0.64775,0.50714,0.49142,0.19261,1.26167,1.10537,1.36071,1.3226,0,4.06e-05,4.06e-05,4.06e-05
92,5626.53,0.61931,0.80675,0.51666,0.9494,0,0.68956,0.5365,0.54505,0.35151,0.65487,0.49594,0.48153,0.18508,1.26207,1.10015,1.39838,1.33678,0,3.994e-05,3.994e-05,3.994e-05
93,5687.33,0.59745,0.8327,0.47691,0.91865,0,0.68871,0.54461,0.55031,0.35087,0.64527,0.51448,0.50026,0.19405,1.24545,1.06474,1.3969,1.3281,0,3.928e-05,3.928e-05,3.928e-05
94,5747.99,0.59385,0.82117,0.49813,0.92114,0,0.68945,0.55156,0.54247,0.34613,0.66454,0.51649,0.49672,0.19757,1.24332,1.04479,1.38252,1.32135,0,3.862e-05,3.862e-05,3.862e-05
95,5809.32,0.59828,0.81121,0.46487,0.92899,0,0.7019,0.54022,0.53839,0.34294,0.65482,0.52144,0.49457,0.19637,1.24865,1.03318,1.38247,1.32561,0,3.796e-05,3.796e-05,3.796e-05
96,5868.23,0.63077,0.84752,0.49663,0.94221,0,0.70927,0.52491,0.53686,0.3398,0.66166,0.50532,0.49567,0.19328,1.25302,1.0359,1.4111,1.33141,0,3.73e-05,3.73e-05,3.73e-05
97,5928.44,0.59804,0.85031,0.49887,0.93134,0,0.68436,0.54577,0.53533,0.34237,0.69835,0.49015,0.49334,0.1926,1.24518,1.05395,1.417,1.33628,0,3.664e-05,3.664e-05,3.664e-05
98,5989.85,0.62534,0.83976,0.50017,0.93093,0,0.69796,0.5365,0.53369,0.33848,0.69943,0.48088,0.48564,0.19042,1.23988,1.06584,1.41572,1.33243,0,3.598e-05,3.598e-05,3.598e-05
99,6053.56,0.61647,0.88957,0.4855,0.9282,0,0.6962,0.5417,0.53664,0.34435,0.66516,0.51333,0.50252,0.19693,1.23504,1.05634,1.3832,1.32253,0,3.532e-05,3.532e-05,3.532e-05
100,6111.34,0.60143,0.79936,0.49836,0.93173,0,0.67642,0.54461,0.54081,0.34811,0.65811,0.50869,0.49447,0.19777,1.24646,1.05677,1.38699,1.32415,0,3.466e-05,3.466e-05,3.466e-05
101,6171.5,0.60164,0.81089,0.46466,0.92833,0,0.68809,0.53936,0.53713,0.34491,0.66828,0.50406,0.49986,0.19614,1.25257,1.05803,1.42085,1.33374,0,3.4e-05,3.4e-05,3.4e-05
