epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,29537.8,0.76772,0.95837,0.79389,1.0562,0,0.68909,0.50406,0.53894,0.34204,0.6605,0.48088,0.48602,0.18537,1.15982,0.91211,1.32866,1.27895,0,8.284e-05,8.284e-05,8.284e-05
28,30439.5,0.83809,0.95466,0.87841,1.10239,0,0.6206,0.53451,0.55721,0.35802,0.59421,0.49376,0.50196,0.20878,1.16382,0.90039,1.29455,1.25461,0,8.218e-05,8.218e-05,8.218e-05
29,31299.9,0.80001,0.92217,0.82753,1.08535,0,0.67343,0.51217,0.56619,0.37191,0.60961,0.47161,0.48021,0.19893,1.11968,0.9255,1.26461,1.24195,0,8.152e-05,8.152e-05,8.152e-05
30,32157,0.8227,0.93888,0.84317,1.09081,0,0.69287,0.53998,0.59091,0.39445,0.65603,0.48436,0.49604,0.19596,1.10971,0.94555,1.22833,1.23877,0,8.086e-05,8.086e-05,8.086e-05
31,33019.5,0.81954,0.90609,0.80589,1.09176,0,0.70534,0.52144,0.56942,0.37897,0.68867,0.4971,0.51512,0.21075,1.13554,0.90577,1.26796,1.25335,0,8.02e-05,8.02e-05,8.02e-05
32,33909.6,0.76813,0.87822,0.79054,1.06742,0,0.70106,0.54622,0.60248,0.40795,0.74212,0.46466,0.52179,0.22745,1.06713,0.92091,1.19094,1.20269,0,7.954e-05,7.954e-05,7.954e-05
33,34772.9,0.77617,0.91439,0.76564,1.06949,0,0.68483,0.54889,0.58258,0.38428,0.64957,0.50174,0.51471,0.21892,1.11035,0.92989,1.23042,1.22096,0,7.888e-05,7.888e-05,7.888e-05
34,35637.3,0.77337,0.88001,0.73298,1.07384,0,0.65426,0.55915,0.58938,0.38238,0.66167,0.48552,0.51595,0.21771,1.14512,0.93573,1.30358,1.23666,0,7.822e-05,7.822e-05,7.822e-05
35,36479.4,0.79425,0.89429,0.77517,1.0828,0,0.64068,0.56611,0.57205,0.36873,0.69949,0.45771,0.50195,0.2,1.15126,0.91893,1.27944,1.23734,0,7.756e-05,7.756e-05,7.756e-05
36,37353.9,0.77572,0.94135,0.76191,1.05805,0,0.61941,0.54345,0.57628,0.38418,0.69297,0.47856,0.53178,0.22351,1.11339,0.91384,1.28422,1.21488,0,7.69e-05,7.69e-05,7.69e-05
37,38203,0.76993,0.92204,0.74784,1.05601,0,0.6447,0.56779,0.5791,0.39588,0.66388,0.48292,0.50338,0.20765,1.10081,0.94068,1.23923,1.21768,0,7.624e-05,7.624e-05,7.624e-05
38,39088.2,0.74064,0.8821,0.72584,1.04656,0,0.71037,0.51725,0.58334,0.39125,0.67267,0.47856,0.51586,0.21469,1.09338,0.90326,1.27343,1.22828,0,7.558e-05,7.558e-05,7.558e-05
39,39926.5,0.72827,0.85758,0.71808,1.03806,0,0.66885,0.54114,0.58849,0.38807,0.62321,0.52514,0.52702,0.21216,1.12171,0.91745,1.25769,1.26238,0,7.492e-05,7.492e-05,7.492e-05
40,40799.3,0.74481,0.89201,0.69892,1.04318,0,0.6849,0.53534,0.57436,0.38373,0.65622,0.49987,0.50756,0.20448,1.11612,0.96704,1.25207,1.259,0,7.426e-05,7.426e-05,7.426e-05
41,41644.2,0.69147,0.84195,0.67103,1.02768,0,0.71276,0.5365,0.58915,0.38896,0.67914,0.5029,0.52382,0.21582,1.10181,0.94215,1.26192,1.2327,0,7.36e-05,7.36e-05,7.36e-05
42,42469.8,0.70654,0.89217,0.694,1.02662,0,0.70764,0.51217,0.56989,0.37984,0.6837,0.47393,0.49946,0.20417,1.09182,0.94101,1.2688,1.22938,0,7.294e-05,7.294e-05,7.294e-05
43,43295,0.71908,0.86845,0.70253,1.02808,0,0.71389,0.5029,0.56455,0.37073,0.65961,0.4832,0.48613,0.19282,1.12937,0.96594,1.34236,1.25404,0,7.228e-05,7.228e-05,7.228e-05
44,44137.1,0.73817,0.89652,0.67475,1.03366,0,0.7243,0.54229,0.59765,0.40525,0.66708,0.50058,0.50262,0.21505,1.11301,0.93983,1.23441,1.22496,0,7.162e-05,7.162e-05,7.162e-05
45,44965.1,0.72141,0.87425,0.68835,1.03645,0,0.72041,0.52375,0.58125,0.39464,0.68589,0.48581,0.50238,0.20663,1.1144,0.95124,1.25223,1.23803,0,7.096e-05,7.096e-05,7.096e-05
46,45773.3,0.71117,0.82011,0.67471,1.04156,0,0.73753,0.50406,0.56693,0.37919,0.695,0.45075,0.46763,0.18117,1.12781,0.99572,1.29052,1.25662,0,7.03e-05,7.03e-05,7.03e-05
47,46634,0.7058,0.85429,0.64884,1.02355,0,0.67237,0.58401,0.58803,0.38344,0.68178,0.50058,0.49536,0.20358,1.11859,0.94234,1.23949,1.24503,0,6.964e-05,6.964e-05,6.964e-05
48,47470.7,0.71217,0.82129,0.66512,1.01424,0,0.69246,0.5562,0.58216,0.38682,0.67023,0.49926,0.49219,0.20723,1.09129,0.9024,1.2246,1.24073,0,6.898e-05,6.898e-05,6.898e-05
49,48385.9,0.6902,0.84017,0.66185,1.03147,0,0.72039,0.54335,0.59794,0.39683,0.67841,0.50406,0.50143,0.20712,1.0771,0.91656,1.22709,1.21664,0,6.832e-05,6.832e-05,6.832e-05
50,49200.6,0.71599,0.83187,0.65622,1.03192,0,0.71153,0.53998,0.58732,0.39464,0.6703,0.50869,0.51487,0.21587,1.0826,0.91584,1.23645,1.22482,0,6.766e-05,6.766e-05,6.766e-05
51,50048.5,0.6915,0.88351,0.64469,1.0265,0,0.68502,0.55388,0.58979,0.38782,0.66257,0.47972,0.49589,0.2059,1.09769,0.95556,1.33809,1.24338,0,6.7e-05,6.7e-05,6.7e-05
52,50867.3,0.73469,0.87058,0.69308,1.03876,0,0.69579,0.56663,0.61076,0.41993,0.6993,0.48204,0.50513,0.21353,1.04545,0.96841,1.24003,1.20073,0,6.634e-05,6.634e-05,6.634e-05
