epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6612.16,1.30335,2.37298,1.89045,1.46237,0,0.57124,0.19099,0.15276,0.07145,0.55618,0.19607,0.14446,0.05916,1.76391,2.83069,2.40052,1.87295,0,0.00127621,0.00127621,0.00127621
29,6810.98,1.31427,2.29865,1.87816,1.46649,0,0.49642,0.25771,0.16548,0.08487,0.23402,0.28326,0.15465,0.06649,1.80464,2.81458,2.32834,1.84617,0,0.00127055,0.00127055,0.00127055
30,7010.15,1.26577,2.327,1.83557,1.42665,0,0.60027,0.21256,0.18739,0.09373,0.57323,0.18878,0.16115,0.072,1.73754,2.89754,2.27197,1.8043,0,0.00126489,0.00126489,0.00126489
31,7209.47,1.24256,2.29442,1.81209,1.44795,0,0.26777,0.26294,0.17401,0.08997,0.26838,0.26158,0.17052,0.07519,1.69966,2.87453,2.26145,1.77819,0,0.00125923,0.00125923,0.00125923
32,7407.98,1.24136,2.27432,1.7959,1.43168,0,0.55694,0.20003,0.18179,0.09008,0.54031,0.20594,0.16296,0.06979,1.68475,2.81529,2.27049,1.77511,0,0.00125358,0.00125358,0.00125358
33,7926.33,1.26535,2.33565,1.8803,1.45451,0,0.1972,0.219,0.17022,0.08243,0.19295,0.20628,0.15531,0.07019,1.69834,2.88298,2.27865,1.78686,0,0.00124792,0.00124792,0.00124792
34,8124.14,1.1786,2.23205,1.7557,1.38387,0,0.18675,0.25781,0.17156,0.08558,0.16704,0.23391,0.15715,0.07265,1.66933,2.77854,2.31307,1.75216,0,0.00124226,0.00124226,0.00124226
35,8322.13,1.18723,2.16865,1.71494,1.41016,0,0.21207,0.24719,0.18268,0.09813,0.20357,0.23217,0.16233,0.0689,1.64544,2.82827,2.20928,1.74564,0,0.0012366,0.0012366,0.0012366
36,8520.29,1.19165,2.21627,1.72322,1.39968,0,0.56707,0.21552,0.1663,0.09123,0.57221,0.21233,0.16244,0.07113,1.69234,2.93109,2.2363,1.78029,0,0.00123094,0.00123094,0.00123094
37,8719.03,1.20401,2.29765,1.77996,1.40002,0,0.57255,0.25227,0.19007,0.09873,0.57543,0.23998,0.17067,0.07578,1.68251,2.7474,2.18877,1.75157,0,0.00122528,0.00122528,0.00122528
38,8917.67,1.19749,2.20945,1.70274,1.39797,0,0.54342,0.21629,0.17856,0.09506,0.55836,0.19065,0.16317,0.07379,1.72857,2.79108,2.35599,1.84556,0,0.00121962,0.00121962,0.00121962
39,9454.84,1.20932,2.10409,1.68957,1.41085,0,0.21175,0.31172,0.17529,0.08904,0.23856,0.28863,0.16424,0.07406,1.67062,2.63957,2.21394,1.77257,0,0.00121396,0.00121396,0.00121396
40,9652.74,1.19208,2.19662,1.69978,1.38857,0,0.21819,0.19694,0.16873,0.09254,0.24981,0.16284,0.15654,0.0705,1.66498,2.78257,2.25233,1.77353,0,0.00120831,0.00120831,0.00120831
41,9850.87,1.1652,2.18109,1.67624,1.37077,0,0.20444,0.24872,0.18318,0.09942,0.24229,0.19558,0.17004,0.07606,1.71426,2.77954,2.23109,1.82632,0,0.00120265,0.00120265,0.00120265
42,10049.6,1.19608,2.08488,1.69112,1.37819,0,0.20967,0.28423,0.18736,0.09373,0.20556,0.2761,0.17649,0.07697,1.74686,2.83398,2.26179,1.87851,0,0.00119699,0.00119699,0.00119699
43,10252.5,1.16161,2.08853,1.68587,1.37834,0,0.20347,0.27348,0.20321,0.09678,0.18267,0.22689,0.16881,0.07439,1.7027,2.75882,2.25118,1.75113,0,0.00119133,0.00119133,0.00119133
44,10452.9,1.1613,2.08834,1.63406,1.37979,0,0.556,0.20903,0.1859,0.09979,0.51422,0.22025,0.15998,0.08177,1.64222,2.73586,2.15889,1.75152,0,0.00118567,0.00118567,0.00118567
45,10655.8,1.12647,2.0459,1.62408,1.3446,0,0.33288,0.2433,0.19269,0.10214,0.32691,0.23837,0.17957,0.09318,1.63538,2.72648,2.13451,1.77083,0,0.00118001,0.00118001,0.00118001
46,10861,1.14114,2.16181,1.65528,1.37769,0,0.34996,0.30387,0.22157,0.13386,0.36336,0.30983,0.21592,0.11138,1.56326,2.67762,1.96647,1.6619,0,0.00117435,0.00117435,0.00117435
47,11063.9,1.1102,2.04341,1.60465,1.34543,0,0.56917,0.25883,0.19738,0.11541,0.56563,0.25761,0.18691,0.09063,1.62234,2.68082,2.09639,1.74125,0,0.00116869,0.00116869,0.00116869
48,11265.2,1.09969,2.1065,1.62892,1.34335,0,0.55115,0.25006,0.19397,0.10167,0.57073,0.21901,0.17538,0.08006,1.6429,2.8428,2.23905,1.78728,0,0.00116303,0.00116303,0.00116303
49,11793.2,1.15083,2.10462,1.61149,1.36125,0,0.21319,0.26753,0.19706,0.10461,0.21289,0.2338,0.18724,0.08505,1.70719,2.63025,2.15206,1.79909,0,0.00115738,0.00115738,0.00115738
50,11992.6,1.09263,2.01506,1.57851,1.33795,0,0.20059,0.26846,0.17661,0.08814,0.2067,0.26797,0.17092,0.07272,1.72034,2.69832,2.20906,1.81425,0,0.00115172,0.00115172,0.00115172
51,12193.2,1.1613,2.11471,1.64343,1.39545,0,0.26586,0.21455,0.2081,0.11751,0.19425,0.34337,0.20801,0.0951,1.62419,2.62519,2.1783,1.72927,0,0.00114606,0.00114606,0.00114606
52,12393.5,1.10363,2.05202,1.57074,1.34603,0,0.23848,0.2427,0.18663,0.09904,0.22561,0.23447,0.17043,0.08232,1.65975,2.74602,2.18031,1.7517,0,0.0011404,0.0011404,0.0011404
53,12594.5,1.12673,2.06012,1.53017,1.3355,0,0.27563,0.32516,0.2141,0.10865,0.25586,0.29546,0.18657,0.10045,1.72581,2.82086,2.18114,1.79531,0,0.00113474,0.00113474,0.00113474
54,12795.5,1.07789,1.97941,1.52745,1.32801,0,0.50845,0.3334,0.27663,0.12264,0.32108,0.29023,0.19881,0.09365,1.63074,2.6521,2.06055,1.71113,0,0.00112908,0.00112908,0.00112908
55,12996.4,1.10521,1.97797,1.52059,1.32083,0,0.31547,0.23003,0.21329,0.11157,0.20269,0.31733,0.18456,0.09328,1.57998,2.71241,2.11117,1.72372,0,0.00112342,0.00112342,0.00112342
56,13197.7,1.08528,1.99511,1.497,1.32217,0,0.36092,0.35303,0.2678,0.15061,0.34553,0.32381,0.22175,0.11882,1.54164,2.78756,2.02107,1.67781,0,0.00111776,0.00111776,0.00111776
57,13399.6,1.03608,1.89857,1.46883,1.29257,0,0.25174,0.30582,0.20115,0.10768,0.25392,0.29363,0.18239,0.0823,1.62464,2.92701,2.17928,1.70933,0,0.0011121,0.0011121,0.0011121
58,13600.7,1.06916,2.00766,1.47662,1.30475,0,0.25257,0.34132,0.22637,0.12643,0.56987,0.23026,0.19482,0.0924,1.64492,2.79371,2.00602,1.76575,0,0.00110645,0.00110645,0.00110645
59,13801.9,1.06925,1.97127,1.47616,1.30802,0,0.25038,0.2952,0.22386,0.11979,0.26018,0.27164,0.20588,0.10078,1.62128,2.68977,2.09726,1.7173,0,0.00110079,0.00110079,0.00110079
60,14256.9,1.01865,1.93833,1.44088,1.27834,0,0.44835,0.30808,0.24311,0.13514,0.44583,0.3045,0.2281,0.12343,1.70072,2.54466,2.11836,1.7942,0,0.00109513,0.00109513,0.00109513
61,14530.7,1.01435,1.7932,1.39161,1.26614,0,0.23252,0.25772,0.21341,0.11986,0.35458,0.16278,0.19008,0.10134,1.56164,2.65884,2.19037,1.70133,0,0.00108947,0.00108947,0.00108947
62,14730.3,1.02806,1.87743,1.4008,1.27105,0,0.28548,0.37314,0.22862,0.1195,0.26509,0.35216,0.21357,0.10387,1.62059,2.65562,2.07094,1.73364,0,0.00108381,0.00108381,0.00108381
63,14929.9,1.02651,1.9551,1.41548,1.27806,0,0.48549,0.30721,0.20955,0.10807,0.48225,0.27531,0.19688,0.10508,1.6426,2.92808,2.09259,1.71777,0,0.00107815,0.00107815,0.00107815
64,15129.3,1.00126,1.86086,1.34452,1.27235,0,0.35532,0.3749,0.25596,0.15398,0.31349,0.32051,0.24504,0.12234,1.57882,2.60339,1.94721,1.68827,0,0.00107249,0.00107249,0.00107249
65,15329.6,1.01296,1.89514,1.4329,1.27735,0,0.46194,0.27697,0.25652,0.14303,0.44476,0.26304,0.23112,0.11234,1.55283,2.69292,2.03964,1.64178,0,0.00106683,0.00106683,0.00106683
66,15529.8,1.00521,1.81855,1.3362,1.23981,0,0.26083,0.26279,0.23165,0.12312,0.24181,0.24638,0.20485,0.09851,1.55981,2.67929,2.04388,1.67634,0,0.00106118,0.00106118,0.00106118
67,15729.2,0.99619,1.79596,1.36427,1.24776,0,0.28184,0.37326,0.25408,0.13818,0.35729,0.34984,0.24803,0.1132,1.62787,2.73033,2.03472,1.70733,0,0.00105552,0.00105552,0.00105552
68,16024.3,1.00644,1.89061,1.36395,1.25696,0,0.28564,0.33936,0.21542,0.11015,0.22889,0.29044,0.1986,0.08364,1.57571,2.63366,2.15455,1.68782,0,0.00104986,0.00104986,0.00104986
69,16454.2,0.99983,1.82,1.31019,1.25145,0,0.29749,0.36567,0.24425,0.12484,0.2639,0.34393,0.20249,0.08907,1.58718,2.78518,2.06577,1.7495,0,0.0010442,0.0010442,0.0010442
70,16654,0.98118,1.8055,1.33506,1.26182,0,0.29147,0.22996,0.20999,0.11275,0.26833,0.22442,0.18603,0.08616,1.55734,2.78173,2.03477,1.68665,0,0.00103854,0.00103854,0.00103854
71,16853.5,0.99276,1.81953,1.35702,1.2725,0,0.34852,0.3481,0.24717,0.12858,0.34606,0.34539,0.23924,0.10268,1.58803,2.69196,2.0723,1.70423,0,0.00103288,0.00103288,0.00103288
72,17052.9,0.96879,1.86393,1.32543,1.24445,0,0.38566,0.29612,0.27369,0.13967,0.38419,0.27319,0.23988,0.11235,1.56748,2.66286,2.02717,1.69817,0,0.00102722,0.00102722,0.00102722
73,17252.5,0.96856,1.85089,1.30282,1.23971,0,0.284,0.24919,0.26758,0.14228,0.51512,0.30804,0.27191,0.11266,1.64066,2.64066,2.01455,1.73525,0,0.00102156,0.00102156,0.00102156
74,17869.2,1.01378,1.91787,1.37729,1.28075,0,0.22717,0.22946,0.2154,0.12649,0.25377,0.19888,0.19923,0.0918,1.55732,2.7394,2.0463,1.68786,0,0.0010159,0.0010159,0.0010159
75,18068.1,0.97666,1.8503,1.33695,1.25399,0,0.39782,0.3226,0.297,0.15643,0.25165,0.33861,0.24142,0.11673,1.55402,2.5748,1.95102,1.63197,0,0.00101025,0.00101025,0.00101025
76,18267.8,0.96384,1.77916,1.29768,1.24794,0,0.23697,0.38932,0.24573,0.12855,0.25136,0.33978,0.21883,0.1044,1.59843,2.8038,2.08411,1.69599,0,0.00100459,0.00100459,0.00100459
77,18590.7,0.95186,1.75909,1.29665,1.2197,0,0.60111,0.27842,0.24919,0.14796,0.23318,0.31848,0.23208,0.12213,1.52184,2.67894,2.04598,1.65191,0,0.000998928,0.000998928,0.000998928
78,19077.7,0.93992,1.72348,1.23401,1.20269,0,0.34259,0.21894,0.23219,0.13456,0.34012,0.2312,0.2262,0.11245,1.57304,2.58363,1.98238,1.66115,0,0.000993269,0.000993269,0.000993269
79,19276.7,0.95644,1.7459,1.25464,1.21594,0,0.21739,0.30097,0.21019,0.11719,0.22104,0.29874,0.20174,0.09624,1.56089,2.8101,1.99338,1.69143,0,0.00098761,0.00098761,0.00098761
80,19476,0.95532,1.78333,1.27122,1.23234,0,0.24735,0.28781,0.21726,0.13293,0.2493,0.28104,0.20996,0.11072,1.55009,2.79467,2.02197,1.68229,0,0.000981952,0.000981952,0.000981952
81,19674.9,0.95685,1.78705,1.28484,1.24762,0,0.33239,0.3168,0.24458,0.13738,0.28878,0.2883,0.21806,0.10636,1.5763,2.74322,2.12271,1.73194,0,0.000976293,0.000976293,0.000976293
82,19874.5,0.96141,1.78513,1.27021,1.24877,0,0.57695,0.27619,0.22767,0.13335,0.22128,0.27977,0.20933,0.10412,1.56727,2.72117,1.99721,1.73347,0,0.000970634,0.000970634,0.000970634
83,20073.9,0.93588,1.77158,1.24121,1.20904,0,0.62524,0.27213,0.25016,0.14301,0.3637,0.32468,0.23458,0.10955,1.56547,2.78603,1.99824,1.71346,0,0.000964975,0.000964975,0.000964975
84,20273.1,0.90222,1.69693,1.22108,1.1887,0,0.26041,0.33601,0.24308,0.14,0.2564,0.3243,0.2289,0.11577,1.58935,2.63315,1.97841,1.69232,0,0.000959316,0.000959316,0.000959316
85,20472.8,0.91959,1.67313,1.19605,1.20535,0,0.24648,0.32973,0.25078,0.14313,0.22753,0.30397,0.22288,0.11692,1.52039,2.619,1.96854,1.67493,0,0.000953657,0.000953657,0.000953657
86,20672.3,0.89231,1.67268,1.19562,1.19148,0,0.24366,0.33143,0.23064,0.13559,0.20448,0.29111,0.20101,0.09977,1.48917,2.70433,2.01564,1.6388,0,0.000947999,0.000947999,0.000947999
87,20871.7,0.92378,1.67791,1.21325,1.20636,0,0.37489,0.27446,0.27817,0.16639,0.40749,0.26168,0.26197,0.13668,1.58925,2.64866,1.95265,1.73812,0,0.00094234,0.00094234,0.00094234
88,21071.6,0.94273,1.65861,1.225,1.21721,0,0.22195,0.30407,0.22421,0.13459,0.22331,0.29865,0.21804,0.11419,1.52239,2.69518,1.99898,1.71065,0,0.000936681,0.000936681,0.000936681
89,21271.3,0.91554,1.67039,1.20609,1.20696,0,0.60763,0.28606,0.24192,0.12904,0.59242,0.27077,0.20578,0.10396,1.57119,2.83094,2.02746,1.7136,0,0.000931022,0.000931022,0.000931022
90,21470.8,0.89024,1.70876,1.17082,1.18016,0,0.26089,0.37174,0.24075,0.13517,0.32294,0.29449,0.23687,0.11135,1.53242,2.68583,1.93843,1.65427,0,0.000925363,0.000925363,0.000925363
