epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1335.51,0.75976,0.92753,0.704,1.03042,0,0.73727,0.59328,0.66862,0.4616,0.74419,0.53998,0.59002,0.24931,1.06958,0.95224,1.08088,1.14656,0,0.000658824,0.000658824,0.000658824
2,2568.28,0.8291,0.93935,0.77073,1.04492,0,0.7303,0.57735,0.64486,0.42236,0.7025,0.54724,0.58007,0.23546,1.20358,1.01179,1.15467,1.23857,0,0.00129925,0.00129925,0.00129925
3,3839.21,0.90475,1.02213,0.85394,1.07667,0,0.66635,0.53226,0.56978,0.35899,0.65773,0.45307,0.47462,0.18265,1.27714,1.12864,1.33082,1.28991,0,0.00191327,0.00191327,0.00191327
4,5162.98,0.93382,1.00208,0.90025,1.10333,0,0.62336,0.5389,0.57133,0.35999,0.6808,0.44032,0.49879,0.19645,1.32672,1.07921,1.29176,1.34986,0,0.0018812,0.0018812,0.0018812
5,6468.07,0.95661,1.0093,0.9223,1.10636,0,0.62511,0.57126,0.61117,0.38666,0.58789,0.53882,0.53534,0.21248,1.25969,1.00473,1.25953,1.27236,0,0.0018416,0.0018416,0.0018416
